Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
114,2013,2013,300.6666666666667,307.7916550925926,16.0,18.999722222222225,6,[],Exponential Decay,-0.9697169153445657,-0.9218200961338539,"(Timestamp('2013-10-28 19:59:59.897758'), Timestamp('2013-11-03 04:00:00.145440'))","(Timestamp('2013-10-29 18:59:59.873277'), Timestamp('2013-11-04 03:00:00.120959'))"
115,2014,2014,4.124988425925926,20.70832175925926,2.999722222222222,16.999722222222225,6,[],Exponential Decay,-0.9734671620852352,-0.8971233049491856,"(Timestamp('2014-01-08 03:59:59.899203'), Timestamp('2014-01-20 23:59:59.982722'))","(Timestamp('2014-01-08 12:59:59.985599'), Timestamp('2014-01-21 09:00:00.069119'))"
116,2014,2014,54.958321759259256,74.79166666666667,22.999722222222225,19.0,6,[],Exponential Decay,-0.9863161855588898,-0.9029168195522372,"(Timestamp('2014-02-28 07:00:00.115198'), Timestamp('2014-03-15 00:00:00.000001'))","(Timestamp('2014-03-01 16:59:59.845917'), Timestamp('2014-03-16 10:00:00.046077'))"
117,2014,2014,107.33332175925926,117.875,7.999722222222222,21.0,6,[],Power-Law Decay,-0.9368867205323085,-0.9821968818024551,"(Timestamp('2014-04-20 10:59:59.850236'), Timestamp('2014-04-28 16:59:59.858880'))","(Timestamp('2014-04-20 06:00:00.047517'), Timestamp('2014-04-28 12:00:00.056161'))"
118,2014,2014,250.1666550925926,254.0416550925926,3.999722222222222,0.9997222222222222,4,"['Si', 'Fe']",Exponential Decay,-0.9844337471945257,-0.8884692077986839,"(Timestamp('2014-09-08 04:00:00.067682'), Timestamp('2014-09-10 21:59:59.860317'))","(Timestamp('2014-09-08 06:59:59.886241'), Timestamp('2014-09-11 00:59:59.994239'))"
119,2014,2014,253.5833217592593,263.4166550925926,13.99972222222222,9.99972222222222,4,"['N', 'Si']",Exponential Decay,-0.9898706638174323,-0.9403830479282125,"(Timestamp('2014-09-12 22:59:59.945277'), Timestamp('2014-09-20 03:59:59.994242'))","(Timestamp('2014-09-12 13:59:59.858880'), Timestamp('2014-09-19 18:59:59.907838'))"
120,2014,2014,305.33332175925926,312.75,7.999722222222222,18.0,5,['Fe'],Exponential Decay,-0.9867379685487847,-0.878518489574923,"(Timestamp('2014-11-02 19:00:00.059037'), Timestamp('2014-11-08 14:59:59.896317'))","(Timestamp('2014-11-03 16:00:00.050402'), Timestamp('2014-11-09 11:59:59.887683'))"
121,2015,2015,169.24998842592595,172.29166666666666,5.999722222222222,7.0,4,"['Si', 'Fe']",Exponential Decay,-0.9638013653182866,-0.8509103719113456,"(Timestamp('2015-06-18 20:59:59.909282'), Timestamp('2015-06-21 03:59:59.946723'))","(Timestamp('2015-06-19 02:00:00.027357'), Timestamp('2015-06-21 09:00:00.064799'))"
122,2015,2015,172.4166550925926,176.95833333333334,9.99972222222222,23.0,5,['Fe'],Exponential Decay,-0.9275095497823025,-0.879403337594145,"(Timestamp('2015-06-22 06:00:00.056157'), Timestamp('2015-06-25 23:59:59.974079'))","(Timestamp('2015-06-22 10:00:00.024478'), Timestamp('2015-06-26 03:59:59.942400'))"
123,2015,2015,179.41666666666666,182.7916550925926,10.0,18.999722222222225,4,"['Si', 'Fe']",Exponential Decay,-0.9831714755156327,-0.873911732322235,"(Timestamp('2015-06-28 22:59:59.884796'), Timestamp('2015-07-01 16:59:59.992801'))","(Timestamp('2015-06-29 00:59:59.868957'), Timestamp('2015-07-01 18:59:59.976962'))"
