Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
285,2002,2002,163.74998842592595,167.54166666666666,17.999722222222225,13.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
286,2002,2002,184.95832175925926,188.58332175925926,22.999722222222225,13.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
287,2002,2002,188.2916550925926,195.24998842592595,6.999722222222222,5.999722222222222,3,"['Si', 'Fe', 'N']"
289,2002,2002,197.33332175925926,202.75,7.999722222222222,18.0,6,[]
291,2002,2002,207.375,215.79166666666666,9.0,19.0,6,[]
292,2002,2002,215.70833333333334,220.79166666666666,17.0,19.0,6,[]
295,2002,2002,226.0416550925926,228.54166666666666,0.9997222222222222,13.0,4,"['Si', 'Fe']"
296,2002,2002,228.875,231.25,21.0,6.0,3,"['Si', 'Fe', 'N']"
297,2002,2002,230.91666666666666,234.25,22.0,6.0,6,[]
299,2002,2002,236.99998842592595,244.2916550925926,23.999722222222225,6.999722222222222,6,[]
301,2002,2002,246.2916550925926,248.83332175925926,6.999722222222222,19.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
302,2002,2002,248.58332175925926,263.1249884259259,13.999722222222221,2.999722222222222,5,['Fe']
304,2002,2002,269.5416550925926,276.3333333333333,12.999722222222221,8.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
308,2002,2002,290.2083333333333,295.8333333333333,5.0,20.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
309,2002,2002,295.75,301.625,18.0,15.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
310,2002,2002,306.58332175925926,312.45832175925926,13.999722222222221,10.999722222222221,3,"['Si', 'Fe', 'N']"
311,2002,2002,313.5416666666667,320.95832175925926,13.0,22.999722222222225,6,[]
312,2002,2002,321.0416550925926,324.1666666666667,0.9997222222222222,4.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
314,2002,2002,330.5,336.1249884259259,12.0,2.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
316,2002,2002,347.6249884259259,356.4583333333333,14.999722222222221,11.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
317,2002,2002,356.1666550925926,360.0416666666667,3.999722222222222,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
320,2003,2003,20.083333333333332,27.374988425925924,2.0,8.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
328,2003,2003,55.791666666666664,58.833333333333336,19.0,20.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
329,2003,2003,58.16665509259259,62.875,3.999722222222222,21.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
333,2003,2003,77.41665509259259,80.83332175925926,9.999722222222221,19.999722222222225,3,"['Si', 'Fe', 'N']"
335,2003,2003,83.33333333333333,91.04166666666667,8.0,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
337,2003,2003,93.58333333333333,96.91666666666667,14.0,22.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
338,2003,2003,96.41666666666667,107.24998842592592,10.0,5.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
339,2003,2003,111.66666666666667,116.58333333333333,16.0,14.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
340,2003,2003,116.75,120.58332175925926,18.0,13.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
344,2003,2003,133.62498842592595,137.95832175925926,14.999722222222221,22.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
345,2003,2003,146.95832175925926,156.25,22.999722222222225,6.0,6,[]
346,2003,2003,156.45832175925926,160.0416550925926,10.999722222222221,0.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
